Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-03-23,Dirty Computer,2018,https://boxd.it/1K3xCb,4,,"This is quite an impressive thesis statement from Monáe. Def an amazing thing to watch, especially in the larger context of the rest of her work. ",,2021-03-22
2021-03-28,Slaxx,2020,https://boxd.it/1KJj2H,3,,"Better than I expected, but I really didn't like the ending. It was still a fun watch though!",,2021-03-28
2021-04-21,Fantastic Four,2015,https://boxd.it/1Oc7lx,1,,Not even bad in an interesting way,,2021-04-19
2021-04-28,Sky Sharks,2020,https://boxd.it/1PgB0L,2,,I loled,,2021-04-28
2021-05-02,Space Truckers,1996,https://boxd.it/1PNdJD,3,,"I don't understand how this exists and how I've never heard of it before because it's wild. I mean, cyborg Charles Dance with robot d*ck jokes weird. Just wtf??!? How did this film happen, can someone please explain?!?",,2021-05-02
2021-05-03,The Mitchells vs. the Machines,2021,https://boxd.it/1PQQ9Z,4,,"Awww, this was very cute. Also, surprisingly on the nose criticism of big tech snuck in here and there.",,2021-05-02
2021-05-05,Rattlesnake,2019,https://boxd.it/1Qezyh,2.5,,"Some good performances and direction in here, but just a terrible hackneyed bad-logic script.",,2021-05-04
2021-05-10,The Lockdown Hauntings,2021,https://boxd.it/1QSGJB,1.5,,Dumb ending and also why did the person running around outside not wear a mask?,,2021-05-09
2021-05-12,Waxwork,1988,https://boxd.it/1R8xAH,3,,"Sort of a juvenile Cabin In The Woods, in a good way!",,2021-05-11
2021-05-12,Waxwork II: Lost in Time,1992,https://boxd.it/1R99fR,3,,"The first Waxwork was a satire, this one is a very very silly farce, but it's good fun with folks hamming it up to great effect, especially Bruce Campbell.",,2021-05-12
2021-05-13,Skeletons in the Closet,2018,https://boxd.it/1Rg763,1,,Having two characters sarcastically comment on how stupid and confusing your movie is doesn't make it a good movie.,,2021-05-12
2021-05-25,Benny Loves You,2019,https://boxd.it/1SSuWr,3,,+ a half star for some seriously fun toy on toy fights.,,2021-05-24
2021-05-26,The Conjuring,2013,https://boxd.it/1T0E8R,4.5,,"Wow, when this series isn't phoning it in it can really pull off some good horror.",,2021-05-26
2021-06-24,Bo Burnham: Inside,2021,https://boxd.it/1WN567,4,,"The deeply discomforting question is not ""is this or is this not authentic?"" but instead the challenge ""would you rather this was artificial or authentic?"" and then ""what does that mean about you?"".",,2021-06-24
2021-07-11,Fear Street: 1978,2021,https://boxd.it/1Z9vdv,3,,It got better towards the end but this sort of suffered from a bad case of middle chapter.,,2021-07-11
2021-07-30,Cadaver,2020,https://boxd.it/21Y4jh,3,,"Look, we all enjoyed Sleep No More.",,2021-07-29
2021-08-02,The Dead Zone,1983,https://boxd.it/22qXmV,3.5,,"Still a pretty great film with lasting relevance, even if the end comes on a little fast.",,2021-08-01
